nodes,edges,density,similarity_with_previous,bucket_length,bucket_num,mem_size,iters,total_msg,activated_nodes,msg_per_iter,time_per_iter,errors,mean_error,errors_per_iter
7716,11410810,0.011000547,0.9422117516629712,7,105,5,13,432,254,"[224, 22, 101, 0, 47, 0, 19, 0, 7, 0, 8, 0, 4]","[11, 0, 2, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0]",11,1,13.247619047619047
7716,11410810,0.010970305,0.9540277777777778,7,105,5,11,409,243,"[204, 28, 97, 2, 46, 0, 20, 0, 8, 0, 4]","[10, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0]",24,1,13.247619047619047
7716,11410810,0.010805235,0.9423627197165826,7,105,5,11,572,343,"[297, 37, 142, 2, 59, 0, 19, 0, 5, 0, 11]","[14, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0]",7,1,13.247619047619047
7716,11410810,0.010697259,0.9442419333063319,7,105,5,13,456,283,"[240, 27, 119, 0, 43, 0, 9, 0, 5, 0, 4, 0, 9]","[13, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",9,1,13.247619047619047
7716,11410810,0.010588742,0.9391374445787989,7,105,5,11,539,378,"[340, 24, 119, 0, 46, 0, 7, 0, 2, 0, 1]","[19, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0]",6,1,13.247619047619047
7716,11410810,0.0105262725,0.9448248086991542,7,105,5,11,368,236,"[202, 25, 93, 0, 39, 0, 6, 0, 2, 0, 1]","[8, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0]",5,1,13.247619047619047
7716,11410810,0.010459573,0.9517991407089151,7,105,5,13,393,228,"[187, 35, 99, 0, 50, 0, 18, 0, 2, 0, 1, 0, 1]","[10, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",6,1,13.247619047619047
7716,11410810,0.010132311,0.9430775369065035,7,105,5,11,405,248,"[214, 30, 96, 2, 44, 0, 17, 0, 1, 0, 1]","[11, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0]",4,1,13.247619047619047
7716,11410810,0.009598753,0.9130720673329826,7,105,5,11,530,360,"[314, 35, 109, 0, 56, 0, 13, 0, 2, 0, 1]","[13, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0]",5,1,13.247619047619047
7716,11410810,0.009908801,0.9242761692650334,7,105,5,15,780,425,"[387, 35, 213, 0, 81, 0, 34, 0, 12, 0, 10, 0, 3, 0, 5]","[23, 0, 2, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",8,1,13.247619047619047
7716,11410810,0.009937819,0.9499675955930007,7,105,5,11,482,279,"[243, 31, 117, 0, 53, 0, 19, 0, 7, 0, 12]","[16, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0]",11,1,13.247619047619047
7716,11410810,0.009879958,0.9450885463116321,7,105,5,11,600,334,"[276, 43, 159, 1, 68, 0, 33, 0, 19, 0, 1]","[18, 0, 2, 0, 1, 0, 1, 0, 1, 0, 0]",10,1,13.247619047619047
7716,11410810,0.009760255,0.941904047976012,7,105,5,11,518,313,"[266, 37, 117, 1, 63, 0, 28, 0, 5, 0, 1]","[12, 1, 2, 0, 2, 0, 2, 0, 0, 0, 0]",14,1,13.247619047619047
7716,11410810,0.009722364,0.9344666173934466,7,105,5,7,541,352,"[314, 30, 121, 1, 57, 0, 18]","[20, 0, 2, 0, 1, 0, 1]",11,1,13.247619047619047
7716,11410810,0.0097163385,0.9429097605893186,7,105,5,9,628,410,"[367, 26, 146, 2, 62, 0, 19, 0, 6]","[21, 0, 2, 0, 1, 0, 0, 0, 0]",27,1,13.247619047619047
7716,11410810,0.009672703,0.946422062932815,7,105,5,11,464,286,"[251, 27, 116, 0, 47, 0, 8, 0, 4, 0, 11]","[16, 0, 2, 0, 1, 0, 0, 0, 0, 0, 1]",10,1,13.247619047619047
7716,11410810,0.009583227,0.9419770773638968,7,105,5,9,436,281,"[228, 34, 115, 1, 48, 0, 9, 0, 1]","[11, 0, 2, 0, 1, 0, 0, 0, 0]",12,1,13.247619047619047
7716,11410810,0.009221321,0.9352149577229963,7,105,5,7,398,237,"[200, 27, 101, 3, 50, 0, 17]","[10, 0, 1, 0, 1, 0, 0]",10,1,13.247619047619047
7716,11410810,0.009034236,0.9246517262265294,7,105,5,9,408,256,"[210, 32, 100, 0, 49, 0, 16, 0, 1]","[13, 0, 2, 0, 1, 0, 1, 0, 0]",10,1,13.247619047619047
7716,11410810,0.008995111,0.9414939286152336,7,105,5,13,581,342,"[305, 30, 164, 1, 50, 0, 27, 0, 2, 0, 1, 0, 1]","[21, 0, 2, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0]",11,1,13.247619047619047
7716,11410810,0.008980565,0.9518351420558469,7,105,5,9,437,268,"[225, 35, 97, 2, 47, 0, 21, 0, 10]","[16, 0, 2, 0, 1, 0, 1, 0, 0]",10,1,13.247619047619047
7716,11410810,0.008940002,0.956858943286476,7,105,5,7,460,292,"[247, 33, 109, 0, 54, 0, 17]","[14, 0, 2, 0, 1, 0, 1]",10,1,13.247619047619047
7716,11410810,0.0089500835,0.9518531760219282,7,105,5,9,380,234,"[205, 24, 93, 0, 42, 0, 10, 0, 6]","[14, 0, 2, 0, 1, 0, 0, 0, 0]",8,1,13.247619047619047
7716,11410810,0.008904536,0.9543260741612714,7,105,5,11,467,286,"[252, 27, 113, 0, 50, 0, 10, 0, 4, 0, 11]","[17, 0, 2, 0, 1, 0, 0, 0, 0, 0, 1]",14,1,13.247619047619047
7716,11410810,0.008834722,0.9456140350877194,7,105,5,9,248,208,"[179, 3, 50, 0, 12, 0, 3, 0, 1]","[2, 0, 0, 0, 0, 0, 0, 0, 0]",6,1,13.247619047619047
7716,11410810,0.008765325,0.9553602811950791,7,105,5,7,77,41,"[32, 8, 24, 0, 10, 0, 3]","[1, 0, 0, 0, 0, 0, 0]",6,1,13.247619047619047
7716,11410810,0.008688872,0.9512817538568612,7,105,5,5,30,19,"[18, 0, 11, 0, 1]","[0, 0, 0, 0, 0]",6,1,13.247619047619047
7716,11410810,0.007644157,0.9736070381231672,7,105,5,5,20,13,"[10, 2, 6, 0, 2]","[0, 0, 0, 0, 0]",6,1,13.247619047619047
7716,11410810,0.0012797924,0.14907792980368828,7,105,5,5,20,11,"[10, 1, 8, 0, 1]","[0, 0, 0, 0, 0]",6,1,13.247619047619047
